RA,DEC,Z,PLATEIFU,LOG_MASS,GZ2_CLASS,ELLIP,LOG_OI_HA_CEN_2.5_ARCSEC,LOG_OIII_HB_CEN_2.5_ARCSEC,LOG_NII_HA_CEN_2.5_ARCSEC,LOG_SII_HA_CEN_2.5_ARCSEC,EDGE_ON_FRAC,FACE_ON_FRAC,OIII_LUM,LOGSFRSED,LOGSFRSEDERR,GLOBAL_AV,GLOBAL_AV_ERR,AV_MEAN_CEN,AV_MEAN_OUTER,AV_MEAN_CEN_ERR,AV_MEAN_OUTER_ERR,SF_AV,LINER_AV,COMP_AV,AGN_AV,SEYFERT_AV,SF_ERR,LINER_ERR,COMP_ERR,AGN_ERR,SEYFERT_ERR,DN_SF,DN_LINER,DN_COMP,DN_AGN,DN_SEYFERT,EWHA_MEAN_CEN,EWHA_MEAN_OUTER,EWHA_MEAN_CEN_ERR,EWHA_MEAN_OUTER_ERR,SEYFERT_CEN,LINER_CEN,SEYFERT_OUTER,LINER_OUTER,OIII_MEAN_CEN,OIII_MEAN_OUTER,OIII_MEAN_CEN_ERR,OIII_MEAN_OUTER_ERR,DUST_OIII_MEAN_CEN,DUST_OIII_MEAN_OUTER,DUST_OIII_MEAN_CEN_ERR,DUST_OIII_MEAN_OUTER_ERR,DN_MEAN_CEN,DN_MEAN_OUTER,DN_MEAN_CEN_ERR,DN_MEAN_OUTER_ERR,OIII_OII_MEAN_CEN,OIII_OII_MEAN_OUTER,OIII_OII_MEAN_CEN_ERR,OIII_OII_MEAN_OUTER_ERR,OIII_HB_MEAN_CEN,OIII_HB_MEAN_OUTER,OIII_HB_MEAN_CEN_ERR,OIII_HB_MEAN_OUTER_ERR,NII_HA_MEAN_CEN,NII_HA_MEAN_OUTER,NII_HA_MEAN_CEN_ERR,NII_HA_MEAN_OUTER_ERR,SII_HA_MEAN_CEN,SII_HA_MEAN_OUTER,SII_HA_MEAN_CEN_ERR,SII_HA_MEAN_OUTER_ERR,OI_HA_MEAN_CEN,OI_HA_MEAN_OUTER,OI_HA_MEAN_CEN_ERR,OI_HA_MEAN_OUTER_ERR,VLAF_FLUX,VLAF_POWER,VLAF_CHECK,VLASS_FLUX,VLASS_FLUX_ERR,VLASS_POWER,VLASS_CHECK,LOFAR_FLUX,LOFAR_FLUX_ERR,LOFAR_POWER,LOFAR_CHECK,ANY RADIO
254.54213,62.415655,0.119,7992-9102,11.423,SBb2m(r),0.734,-1.405241242,1.008988643,0.154422017,0.051208763,0,1,6.345520404,,,0.483181215,0.023010982,0,0,0,0,1.111672515,,1.300726963,1.011121343,1.026828153,0.046776914,,0.100387529,0.0693287,0.068218623,1.404431316,,1.448044545,1.652190404,1.652131531,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1.18,2.62E+22,TRUE,,,,,3.183,0.209,7.06E+22,TRUE,TRUE
170.5881,46.43051,0.032,8946-3703,10.951,Er,0.373,-1.160634415,0.283902007,0.014472985,0.131529966,0,1,4.653636853,-1.14,0.361,-1.221541141,0.034448523,-1.472863754,-1.131808911,0.060622354,0.084531128,,-0.856965429,,-0.62221205,,,0.091413852,,0.096505685,,,1.871450337,,1.867605672,,2.183189381,1.672233103,0.050484016,0.031641904,,TRUE,,TRUE,3.638172985,3.37064758,0.042907951,0.049948807,4.024431212,3.142889145,0.028229478,0.011247727,1.933492566,1.819584659,0.005898319,0.003601275,-0.047983182,-0.204549943,0.006394055,0.010405745,0.12436514,0.275229985,0.009890884,0.015150186,-0.048008597,-0.088988082,0.139197496,0.157692101,-0.235645077,-0.217934361,0.042302039,0.140956571,-0.977422165,-0.952341895,0.185609125,0.318462745,2.29,4.75E+21,TRUE,1.78,0.221,3.69E+21,TRUE,1.918,0.159,3.98E+21,TRUE,TRUE
243.0733938,28.42955087,0.053,9090-9102,11.415,Ei,0.502,-1.362049174,0.142338498,-0.102784505,0.158068432,0,1,4.803417124,-0.095,0.571,-1.176208342,0.024120327,0.330343369,-0.423900345,0.045850457,0.037824479,,-0.035114997,,-0.017952336,,,0.155358105,,0.151167613,,,1.851898197,,1.848483492,,4.258851333,3.053153621,0.109735235,0.073743657,,TRUE,,TRUE,0,0,,,4.628029978,4.020805309,0.015128477,0.013977385,1.995812889,1.909667069,0.003139342,0.002527515,0,0,,,0,0,,,-0.136470083,-0.197590843,0.037134947,0.071840789,-0.225585309,-0.303530295,0.036475039,0.070792197,-1.038837356,-1.027838382,0.070322491,0.192552113,80.9,4.32E+23,TRUE,71.686,0.243,3.83E+23,TRUE,217.557,3.375,1.16E+24,TRUE,TRUE
192.47821,50.581676,0.047,11760-3703,10.65,Ei,0.72,-1.498166422,0.31209542,-0.037287181,-0.101087524,0.25,0.75,4.841307085,-0.208,0.251,0.063649458,0.029308172,0.757842624,0.117834382,0.031985099,0.053797038,,0.382385912,0.531080663,0.714392176,,,0.203429299,0.050201783,0.051656643,,,1.579491667,1.496164792,1.606185745,,8.382749825,7.301125571,0.150628469,0.128990726,,TRUE,,TRUE,4.924995317,4.187504443,0.036052029,0.165725953,4.526365935,3.493683928,0.024452179,0.020137495,1.594502281,1.550924212,0.005308451,0.00699546,0.188510615,0.155680391,0.010515251,0.031468792,0.280290867,0.117097658,0.011696313,0.0152703,-0.032542481,-0.192978863,0.056992945,0.106274402,-0.44226937,-0.542723998,0.09643633,0.137876224,-1.516281139,-1.446769932,0.137669852,0.313579581,,,,,,,,0.876,0.15,3.75E+21,TRUE,TRUE
248.62867,37.695433,0.099,12667-12702,11.347,Ei,0.444,-2.193486976,0.93635985,-0.141957869,-0.267673846,0,1,6.434897382,-0.335,0.408,-0.765701347,0.059400421,0.953473438,1.112202686,0.024897767,0.049523416,,,,1.109259051,1.109259051,,,,0.040122053,0.040122053,,,,1.610635556,1.610635556,15.9643,9.042321316,0.321860856,0.397898973,TRUE,,TRUE,,6.73124909,6.206323243,0.014307696,0.040045868,6.341783227,5.734954162,0.020200239,0.036254283,1.578629231,1.611408553,0.00286334,0.003157461,0.941218345,0.880514771,0.005922953,0.013585002,0.92148925,0.928238827,0.002819473,0.007101884,-0.098015887,-0.082475614,0.007573794,0.022860492,-0.567782839,-0.571873039,0.008947357,0.021037061,-1.65742818,-1.595082934,0.015232912,0.12047348,,,,,,,,2.12,0.272,3.45E+22,TRUE,TRUE
242.71588,48.910902,0.045,8565-3703,10.63,Er,0.396,-1.529910529,1.08246556,-0.104606231,-0.352988947,0.044,0.95599997,6.461697707,0.678,0.051,-0.225688412,0.115660635,1.161776002,0.471770589,0.062261635,0.091975642,,,,0.754207766,0.86871069,,,,0.069680983,0.052336323,,,,1.572785877,1.569149636,23.87130016,3.876029836,0.96722976,0.154497075,TRUE,,TRUE,,6.289790314,4.818924494,0.053366944,0.050645609,5.903411934,4.239767727,0.042988325,0.026800924,1.499041639,1.616929487,0.003598164,0.003119858,1.027643144,0.7546467,0.010366284,0.013918575,1.075451864,0.992993645,0.00182812,0.009479567,-0.064793411,0.000156,0.028627921,0.105685112,-0.680338058,-0.507992721,0.094386892,0.254740404,-1.534165242,-1.309800426,0.101734176,0.275280182,2.42,9.55E+21,TRUE,2.015,0.213,7.95E+21,TRUE,5.185,0.151,2.05E+22,TRUE,TRUE
245.2483,49.001783,0.058,8483-12703,11.097,SBb,0.736,-1.077770783,0.57456144,0.010564385,0.148475422,0.07,0.930000007,5.086929524,-0.26,0.316,-1.914294395,0.084162993,0.490126713,-1.189159616,0.062349494,0.167187154,,-0.222781907,,-0.074910128,,,0.123019625,,0.114407566,,,1.902629904,,1.905231157,,6.203127568,1.827013239,0.218379865,0.079095873,,TRUE,,TRUE,5.055678883,4.042472274,0.040710388,0.07771276,4.83513104,3.829748999,0.024194843,0.027740578,1.909323514,1.903039521,0.003538904,0.004066983,0.201714687,0.123972652,0.00520762,0.014435059,0.520078551,0.468006166,0.006542714,0.017000531,0.078721489,0.098924233,0.032902971,0.14802589,-0.141029981,-0.100893998,0.042296905,0.172803922,-1.043728893,-0.916413129,0.044827299,0.321931553,,,,,,,,,,,,
211.61568,49.95312,0.128,11016-6101,11.53,Er(i),0.683,-0.955161559,0.297403179,0.120180572,0.172739118,0,1,5.196773701,-0.053,0.827,-1.436118094,0.053315283,0,0,0,0,,0.400463558,,0.461496785,,,0.120154257,,0.114314334,,,1.740601222,,1.741928469,,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,2.171,0.137,5.43E+22,TRUE,TRUE
248.43128,26.329005,0.067,11757-3702,11.153,SBb2l(m),0.753,-1.998391914,0.909357344,-0.186076116,-0.207221589,0.143000007,0.856999993,5.718942066,0.51,0.225,0.91547435,0.055839065,1.295996706,1.064247479,0.045461069,0.030152052,0.942322795,,1.18100807,1.188911377,1.168529595,0.076792694,,0.045542681,0.054940926,0.051549193,1.504261304,,1.547384,1.698692449,1.69989299,7.162628,6.613012895,0.098805921,0.093389391,TRUE,,TRUE,,6.035760809,5.313132215,0.029379785,0.038967161,5.521424414,4.515728421,0.022841917,0.032485905,1.7898308,1.61606125,0.004953058,0.005553089,1.119366937,0.777170728,0.032002389,0.023511667,0.8603582,0.584323807,0.007555448,0.015516616,-0.156895764,-0.246004108,0.04956935,0.06337589,-0.577311732,-0.638913746,0.088080843,0.099352714,-1.555158945,-1.68110987,0.041774381,0.149975362,,,,,,,,,,,,
198.7493,51.272582,0.025,11830-1902,10.057,Ei,0.706,-1.768219899,0.565599968,-0.230366991,-0.475859618,0.400000006,0.600000024,4.821516277,-0.769,0.401,-0.72190676,0.071211282,0.15004196,-2.804895368,0.119599576,0.233553528,,,,0.905455147,1.080782441,,,,0.094182074,0.050406651,,,,1.590888519,1.584056164,3.962433659,1.773343062,0.189284053,0.048285243,TRUE,,TRUE,,4.387458518,1.424992745,0.06496173,,3.490714545,2.668349243,0.045839089,0.014973207,1.615941243,1.665656193,0.00592688,0.006610185,0.53987202,0.029571294,0.016285102,,0.493688924,0.019515779,0.00927329,,-0.120176229,-0.029544888,0.100649456,0.188734008,-0.551589122,-0.191234155,0.215444747,0.212669322,-1.666693289,-0.606072596,0.32205615,0.202259422,,,,,,,,0.331,0.083,4.28E+20,TRUE,TRUE
