,RA,DEC,Z,AGN_TYPE,plateifu,r_band_abs_mag,SDSS_HA_EW,log_SFR_Ha,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen,SDSS_HA_EW_ERR,OIII_5007_LUM_DERRED,Re_kpc,Re_arc,PA,ellip,log_Mass,gz2_class,Edge on frac,Face on frac
21,122.973,57.9519,0.028,2,10492-6103,-20.22,49.901386,0.65307281256968,-1.78252317080381,-0.404355412884959,0.75515215580859,-0.0860704799553973,0.37775052,1.8182168627077885e+42,3.26033424844866,5.91389,145.6254,0.854881684603782,10.71,Sb,0.44,0.56
22,152.6807,6.2004,0.098,2,10518-12704,-22.35,231.38037,1.31214438356187,-1.49572269409571,-0.427799698489077,0.695301649197173,-0.117992648371926,1.0217862,1.764552400522986e+42,9.63910349368576,5.36498,185.4134,0.642658214442949,11.32,Sb1l(m),0.17,0.83
23,118.4142,13.4339,0.048,2,11743-6102,-20.77,25.490112,0.297667142637814,-1.6764892814825,-0.020370213023554,0.745443362450906,0.0894585118995215,0.28948987,1.760948520920446e+42,3.00709949320456,3.2350693,180.10101,0.737147932951073,10.86,Sc?m,0.06,0.94
24,245.2483,49.0018,0.058,2,8483-12703,-21.15,6.7883587,-0.434862345683779,-1.07777078287416,0.148475422116543,0.574561439717647,0.0105643851283642,0.21658401,1.620478507337901e+42,7.3964947812157,6.65138,240.492,0.735964618443034,11.1,SBb,0.07,0.93
25,1.6066,15.4287,0.044,2,12700-6102,-20.43,6.9985576,-0.0115115386445182,-1.52465696845993,-0.251760026193339,0.661708504410376,-0.161035699244938,0.18089294,1.52063689896127e+42,3.60029400920763,4.1934137,225.80716,0.672505086556042,10.46,-9999,0.06,0.94
26,115.3687,44.4088,0.132,2,8137-3702,-22.87,23.73097,0.686137086904564,-1.84429930819812,-0.102854960549175,0.800506856616619,0.0670808312603341,0.33635232,1.508188588670459e+42,8.37473268996684,3.59959,205.166,0.467970664106202,11.6,Ei,0.0,1.0
27,117.9662,49.8143,0.024,2,8710-6102,-20.52,12.739402,2.41720662353338,-1.97902503579865,-0.534674696962908,1.33383512237843,-0.050400628490679,0.14705415,1.4421237207596608e+42,2.98151656349703,6.13351,171.442,0.501682207474014,10.62,Ei,0.07,0.93
28,195.3213,53.8608,0.03,2,11955-12703,-20.52,3.5578976,-0.0697510376308192,-1.29208380808856,0.144397376354924,0.563990517992713,0.0717588382115326,0.13092372,1.410382405269392e+42,7.2977245653981,12.351962,199.43387,0.740197023844867,10.94,SBb?t,0.06,0.94
29,13.4277,-1.0852,0.047,2,12696-12702,-21.46,8.52374,0.0465938772710715,-1.23956825248394,0.10113118219232,0.927514172367784,0.125189482080024,0.08104411,1.397594919260579e+42,5.16733307872138,5.7223673,201.21912,0.68259518257098,11.23,SBb2m(r),0.0,1.0
30,127.7848,30.8956,0.074,2,11746-12704,-21.9,14.158965,0.748769698296133,-1.24278447556002,-0.0236995944487366,0.90687117751856,0.0748349695833599,0.23719779,1.3320734214137987e+42,7.96506841838764,5.751726,140.316345,0.81722891254884,11.17,SBc2m,0.03,0.97
31,334.4234,0.1521,0.045,2,12067-6104,-20.51,7.1265564,-0.481896953326814,-1.67265372053464,-0.175241555354355,0.711683234083404,0.193382915138314,0.19154575,1.2030993446707585e+42,3.1899070599811,3.6397402,166.43277,0.235906449341486,10.64,Er,0.0,1.0
32,134.6192,0.0235,0.029,2,12511-6101,-20.73,23.649307,-0.00721056289890637,-1.41862603612423,-0.0329460120308688,0.615128527664586,-0.0562295087364995,0.21690504,1.1754718840652125e+42,3.34573568446923,5.9249706,247.18573,0.685353109806317,10.56,SBb,0.13,0.87
33,141.9157,5.0535,0.126,1,10842-9102,-22.68,183.11404,0.867738284706277,-1.47051148589917,0.0547421248002757,0.919445586663921,0.069631864277607,0.9543625,1.1628528789327275e+42,13.5921845792671,6.0829654,211.531586,0.57004532050043,11.52,Sc2m,0.0,1.0
34,129.5456,24.8953,0.028,1,9502-12703,-21.36,85.593376,0.709721159496317,-1.22052023152071,0.115439904917319,0.981898499447698,0.13729248840998,0.37565327,1.0612584658829429e+42,5.09008171608745,9.00657,94.52518,0.535241627117137,11.27,SBb2m(m),0.0,1.0
35,130.0099,29.8174,0.065,2,11747-12703,-22.12,38.135387,1.08112869198037,-1.4962915292398,-0.0902653399726651,0.995337222040094,-0.0600112479216023,0.35142782,1.0569727718244782e+42,11.2678576785541,9.142847,141.441986,0.494991528367062,11.53,Sc?t,0.1,0.9
36,237.6516,51.398,0.05,2,8546-6103,-20.76,11.956478,-0.173726904279499,-1.71401285560101,-0.26037058149259,0.986801389916612,-0.0889565151511384,0.17495634,1.0456936276304246e+42,3.10897990379431,3.20926,106.4754,0.410812173139989,10.66,Sc(r),0.0,1.0
37,144.5367,1.4492,0.046,2,11752-12704,-20.53,13.270976,0.216195339360106,-1.48296193990614,-0.323390509367709,0.845469479964627,-0.124596375857932,0.32759365,1.0053941683375773e+42,4.53244862379542,5.0828276,213.28555,0.739124712815124,10.52,Ei,0.0,1.0
38,126.0596,17.332,0.037,2,8241-6102,-21.29,41.763687,0.854142391920875,-1.35103705888173,-0.131326017649404,0.926789558963471,-0.0726230316603832,0.28673017,9.130400088968091e+41,3.91930040147895,5.37398,241.879,0.440001577259673,10.95,SBc?t,0.04,0.96
39,121.0142,40.8026,0.126,2,8143-6101,-23.31,17.311905,0.76691434742655,-1.47676014900541,-0.0622755009313895,0.826932352084703,0.240399533684914,0.27239132,9.02125088263232e+41,13.4582163847183,6.02849,204.286,0.656590788079607,11.9,Sb?t,0.06,0.94
40,248.3839,24.9847,0.059,1,9892-3703,-21.41,58.16017,-0.215039257226462,-1.41371559018136,-0.118273755449101,1.0564208286655,0.0509757542784999,0.42717934,8.698958865687048e+41,3.29682977638626,2.90067,257.04,0.58209889028927,10.93,Ei(r),0.0,1.0
41,254.5646,39.3915,0.034,2,8612-12704,-20.96,35.289783,0.418997782237463,-1.47126967747648,-0.0992624330914393,1.02123229131794,-0.0151265751232248,0.25535953,8.49218585019582e+41,4.8362315635938,7.16849,189.7564,0.941438407849924,11.07,Ec,0.96,0.04
42,247.6361,39.3842,0.03,2,11943-6104,-20.99,27.026228,0.389346051195704,-1.49470678669684,-0.185749449519161,0.700621537062553,-0.213805282472236,0.26941085,8.267111684795097e+41,2.1102198572098,3.4999495,190.480255,0.703672159876288,10.76,Ei,0.0,1.0
43,241.8234,41.4036,0.035,2,8979-6102,-20.61,5.305672,0.266553801480015,-1.31335853997703,0.0722045160280436,0.637325058589712,0.029823245886232,0.16331013,8.220024670329563e+41,5.89504594349827,8.64853,127.9235,0.504508030016371,10.74,SBb3t,0.0,1.0
44,11.9991,13.7427,0.057,2,8091-12701,-21.0,40.625557,0.212365784348723,-1.30110737111038,-0.155877517718097,1.02111302231793,-0.0358457801129466,0.38377514,8.180874253850925e+41,7.57509117658801,6.98742,202.46,0.750838360636962,11.0,-9999,0.11,0.89
45,350.8667,14.0917,0.041,2,12090-6101,-20.29,15.797802,0.00859960329673194,-1.22721590884099,-0.264902653336882,1.02429225450122,-0.217087087933258,0.21618466,8.169990095284795e+41,1.64198383157403,2.0253303,161.96503,0.773830774538103,10.65,-9999,0.88,0.12
46,45.9546,-1.1037,0.014,2,9193-12701,-20.01,8.697435,-0.380299251336394,-1.56311359608125,-0.161560885740059,0.953474745295046,-0.312960993663502,0.14163528,8.14482646884944e+41,4.09053364705955,14.8759,233.441,0.718326639881885,10.86,Ser(u),0.78,0.22
47,165.3915,45.6539,0.029,2,8993-12705,-21.24,60.22482,0.898684407586611,-1.66606297989437,-0.168173672371065,1.09269507038106,0.00615208089439079,0.38814867,7.8121329269459e+41,5.41474926640474,9.34829,104.7817,0.684037333916066,11.12,Sb?t,0.0,1.0
48,117.4724,45.2485,0.031,2,8141-1901,-20.7,9.992489,-0.167078370617117,-1.91318129039335,-0.0492992181381904,0.80741072803033,-0.127602170601202,0.16602772,7.126147749100453e+41,2.17686293004708,3.52613,261.013,0.476227697972304,10.58,Ei,0.0,1.0
49,61.4533,-6.3238,0.057,1,8158-3704,-20.54,37.18007,-0.575533322573396,-1.30601117016167,-0.267151259984315,0.710859184878216,-0.294120347557542,0.40936697,7.073464751300288e+41,6.47591921902402,5.95339,169.0025,0.430999846979091,10.66,-9999,0.08,0.92
50,121.7799,36.2335,0.032,2,9485-12705,-21.44,10.621972,0.56869756235894,-0.887693058069763,-0.46493952703289,0.898340337313689,-0.188722076110849,0.13984443,6.936076345337905e+41,4.17107451548531,6.5414,121.1286,0.784745593728311,11.03,Sb?t,0.0,1.0
51,206.67,52.4768,0.029,2,9884-3704,-20.84,12.981794,-0.0569140100694072,-1.3820240508097,0.0360597321105965,0.870037931925927,-0.0240382323733788,0.2118053,6.927571464845676e+41,2.40901210587856,4.16624,230.914,0.743585377155172,10.89,Ei,0.12,0.88
52,126.0153,51.9044,0.031,2,10493-3704,-19.75,28.466854,-0.0346658985756868,-1.59824437148928,-0.238794489045919,0.889138090342067,-0.170453741488858,0.31095344,6.846784127127054e+41,1.55020489986159,2.50665,131.4706,0.413867788588337,10.43,Ei,0.0,1.0
53,31.5666,-0.2914,0.043,1,10223-3701,-22.11,103.65491,0.0953903059821521,-1.63713234535828,-0.0447905657817374,0.964901929373477,0.073349346066164,0.47948325,6.7731210911467985e+41,3.58969742175105,4.333,265.656,0.653548082986248,11.43,Sb?m(r),0.12,0.88
54,199.8291,51.1267,0.029,2,11017-12701,-20.58,7.3627553,-0.106986599682371,-1.4473662649614,0.0263564390713599,0.67025917830646,0.00271598389872193,0.15038714,6.746730804818197e+41,5.29806012770642,9.08672,259.65024,0.805738808189564,10.81,Sc2l,0.0,1.0
55,17.4877,-0.7035,0.045,2,12074-3701,-19.99,10.378117,-0.405198534489244,-1.77322718696088,-0.433194720647028,0.961128021817552,-0.233319005610038,0.18680006,5.8951065384178606e+41,2.40203947841008,2.7132082,239.17926,0.846527181270483,10.16,Ei,0.86,0.14
56,184.0296,50.825,0.031,1,11833-3702,-21.14,162.98392,0.232774677080843,-1.9295288721904,-0.152613452116672,0.82875395513324,-0.0836222391385023,0.76584667,5.8950115050542065e+41,3.05889467633039,5.007681,164.33365,0.81824953485215,11.17,SBb,0.41,0.59
57,14.6978,-1.0972,0.047,2,12073-3704,-20.68,13.97964,-0.20241512587112,-1.5449189624618,-0.264901700637071,1.02780039144882,-0.120085098257147,0.1908934,5.831436844637134e+41,2.59845407928195,2.8797472,141.82428,0.736142426649384,10.88,Sb,0.09,0.91
58,166.5099,43.1735,0.058,2,8255-6101,-21.5,10.858104,0.168984776181919,-1.16016932053066,0.14017557501647,0.441133719117007,-0.01296040769023,0.20728473,5.798151801351594e+41,3.58088868478489,3.20764,234.014,0.544092868336831,11.16,Er,0.0,1.0
59,195.6684,51.7789,0.054,2,11831-12702,-21.63,24.843517,0.611769158342417,-1.74883329436441,-0.0197901093209066,0.887647438664147,0.176548469345941,0.2891948,5.7396232220625145e+41,11.972776759033,11.527259,190.041595,0.480668582395942,11.33,SBc3t,0.03,0.97
60,253.048,22.7565,0.035,2,11979-6104,-20.65,3.636199,-0.705413463525139,-1.4066521157785,-0.152925012476119,1.09121859732036,0.0342926697967511,0.12127945,5.357372666869539e+41,4.5345472668096,6.553639,91.5399475,0.418530699630239,10.83,SBb?m(r),0.06,0.94
61,328.5779,0.3554,0.067,2,12066-12705,-22.15,18.217316,1.18239143774873,-1.30770222679436,0.0409608994094762,0.623173313378292,0.0255440107320128,0.22534756,5.1283805119867984e+41,11.0671685207457,8.701991,264.27649,0.534195609071424,11.29,Sc+t(d),0.02,0.98
62,242.7159,48.9109,0.045,2,8565-3703,-20.95,31.972204,0.248823775669882,-1.52991052940882,-0.35298894729803,1.08246556049751,-0.104606230635021,0.31270912,5.0158493128116935e+41,2.10608582336353,2.40395,247.454,0.396360405407755,10.63,Er,0.04,0.96
63,254.3172,27.8496,0.034,2,11952-12704,-20.88,47.44161,0.513545524082765,-1.87153582694841,-0.187462969515639,0.943982826135606,-0.143343764845536,0.40851992,4.629253412129567e+41,7.86750772395979,11.739714,124.21994,0.742630266943996,11.16,Sc2m,0.02,0.98
64,163.6638,47.8623,0.073,1,8998-12705,-22.17,87.78516,1.18636318541373,-1.49508712836325,-0.481219838691248,0.788546124559384,-0.124341933168856,0.6082204,4.249992166712673e+41,12.4729112032147,9.0877,264.377,0.502106146510875,11.4,SBb2t,0.0,1.0
