num,RA,DEC,Z,plateifu,Broad,AGN Type,ellip,log_Mass,gz2_class,Edge on frac,Face on frac,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen
43,247.1922,25.4947,0.04,9047-6102,0,,0.32,11.2,Er,0,1,-1.12761732,0.20511443,0.372060134,0.120429329
44,119.6171,37.7866,0.041,9181-12702,0,,0.67,11.65,Ei,0,1,-1.454295159,0.121430557,0.501073767,0.275192788
45,119.4863,39.9934,0.066,9182-6102,0,,0.4,11.04,Sc?t(r),0,1,-1.561278667,-0.112490764,0.874068889,-0.1074849
46,239.3391,54.6711,0.047,8481-3702,0,,0.41,11.46,Er,0,1,-0.993329602,-0.183647995,0.510668901,0.07125189
47,243.5818,50.4656,0.06,8482-12704,0,,0.56,11.44,Er,0,1,-1.430756577,0.24952781,0.511100018,0.09480037
48,255.0299,37.8395,0.063,8606-12701,0,,0.34,11.4,SBb3m,0.02,0.98,-1.309594029,0.123551639,0.721913436,0.138163761
49,13.4277,-1.0852,0.047,12696-12702,,2,0.68,11.23,SBb2m(r),0,1,-1.239568252,0.101131182,0.927514172,0.125189482
50,14.6979,-1.0971,0.047,12073-3704,,2,0.74,10.88,Sb,0.09,0.91,-1.544918962,-0.264901701,1.027800391,-0.120085098
51,17.4877,-0.7035,0.045,12074-3701,,2,0.85,10.16,Ei,0.86,0.14,-1.773227187,-0.433194721,0.961128022,-0.233319006
52,33.5246,-0.277,0.037,10223-3702,,2,0.47,10.12,Er,0,1,-1.519297764,-0.386456938,0.693905665,-0.313570215
53,38.2552,0.4208,0.022,10226-6104,,2,0.76,10.73,SBb2m,0.07,0.93,-1.320331467,-0.379169494,0.705873513,-0.011521724
54,117.4724,45.2485,0.031,8141-1901,,2,0.48,10.58,Ei,0,1,-1.91318129,-0.049299218,0.807410728,-0.127602171
55,117.9662,49.8143,0.024,8710-6102,,2,0.5,10.62,Ei,0.07,0.93,-1.979025036,-0.534674697,1.333835122,-0.050400628
56,118.4142,13.4339,0.048,11743-6102,,2,0.74,10.86,Sc?m,0.06,0.94,-1.676489281,-0.020370213,0.745443362,0.089458512
57,120.7007,45.0346,0.039,8718-12702,,2,0.87,11.01,Ec,0.23,0.76,-1.469104156,0.020679275,0.876595995,0.058483013
58,120.9967,23.7557,0.029,9503-6102,,2,0.43,10.83,Er(r),0,1,-1.370009241,-0.209405859,0.686133543,-0.123654674
