RA,DEC,PLATEIFU,LOG_MASS,Z,GZ2_CLASS,ELLIP,LOG_OI_HA_CEN_2.5_ARCSEC,LOG_OIII_HB_CEN_2.5_ARCSEC,LOG_NII_HA_CEN_2.5_ARCSEC,LOG_SII_HA_CEN_2.5_ARCSEC,EDGE_ON,FACE_ON,OIII_LUM,LOGSFRSED,LOGSFRSEDERR,GLOBAL_AV,GLOBAL_AV_ERR,AV_MEAN_CEN,AV_MEAN_OUTER,AV_MEAN_CEN_ERR,AV_MEAN_OUTER_ERR,SF_AV,LINER_AV,COMP_AV,AGN_AV,SEYFERT_AV,SF_ERR,LINER_ERR,COMP_ERR,AGN_ERR,SEYFERT_ERR,EWHA_MEAN_CEN,EWHA_MEAN_OUTER,EWHA_MEAN_CEN_ERR,EWHA_MEAN_OUTER_ERR,SEYFERT_CEN,LINER_CEN,SEYFERT_OUTER,LINER_OUTER,OIII_MEAN_CEN,OIII_MEAN_OUTER,OIII_MEAN_CEN_ERR,OIII_MEAN_OUTER_ERR,DUST_OIII_MEAN_CEN,DUST_OIII_MEAN_OUTER,DUST_OIII_MEAN_CEN_ERR,DUST_OIII_MEAN_OUTER_ERR,DN_MEAN_CEN,DN_MEAN_OUTER,DN_MEAN_CEN_ERR,DN_MEAN_OUTER_ERR,OIII_OII_MEAN_CEN,OIII_OII_MEAN_OUTER,OIII_OII_MEAN_CEN_ERR,OIII_OII_MEAN_OUTER_ERR,OIII_HB_MEAN_CEN,OIII_HB_MEAN_OUTER,OIII_HB_MEAN_CEN_ERR,OIII_HB_MEAN_OUTER_ERR,NII_HA_MEAN_CEN,NII_HA_MEAN_OUTER,NII_HA_MEAN_CEN_ERR,NII_HA_MEAN_OUTER_ERR,SII_HA_MEAN_CEN,SII_HA_MEAN_OUTER,SII_HA_MEAN_CEN_ERR,SII_HA_MEAN_OUTER_ERR,OI_HA_MEAN_CEN,OI_HA_MEAN_OUTER,OI_HA_MEAN_CEN_ERR,OI_HA_MEAN_OUTER_ERR
246.2743391,40.92873946,11942-9101,10.56884878,0.028941607,Sc?t,0.491369522,-1.104996752,-0.296792545,-0.249636403,-0.53495161,0.03,0.97,3.290300074,-0.217,0.094,0.747836662,0.029842698,0.50490288,0.770821039,0.459828354,0.46878621,0.768198452,,,,,0.021465907,,,,,4.271729448,12.984994,0.143434353,0.38365,,,,,3.109268511,3.027594793,0.011875625,0.008699344,2.883333857,2.717966282,0.009877032,0.006779293,1.554686828,1.413891162,0.058392871,0.067902792,-0.201101459,-0.409494986,0.027023771,0.009871274,-0.30017839,-0.573574593,0.012594905,0.008109981,-0.329070329,-0.431390537,0.082697725,0.051035738,-0.703731771,-0.737647052,0.087659451,0.075954387,-1.474663055,-1.934804151,0,0.255694784
186.0312443,51.0068701,11833-6104,10.62026008,0.030260297,Sb,0.866860876,-0.973737268,0.281431473,-0.025701022,-0.118585285,0.18,0.82,3.895684046,-0.082,0.207,0.083404205,0.054496899,0.516013082,0.369990841,0.664413251,1.252739617,0.62662452,0.011884431,0.763893132,0.236735507,,0.027109021,0.096077742,0.064698149,0.102645314,,2.767085401,10.31300868,0.082432204,0.47300506,,TRUE,,TRUE,3.638486071,3.254856193,0.030479337,0.020785417,3.408501075,2.999209063,0.019308501,0.012194117,1.749587372,1.618102583,0.065782533,0.167043248,-0.056262129,-0.225384091,0.01472989,0.00906318,-0.044320511,-0.234085066,0.014459657,0.009592,-0.180252271,-0.334001889,0.08898483,0.105936932,-0.504099031,-0.613158136,0.121141653,0.157011535,-1.443360938,-1.7213572,0.22559599,0.377047289
214.8256389,42.6742311,8333-6104,11.66905983,0.130282,Er,0.500379826,,,,,0,1,2.156644414,-0.707,0.811,-7.738765163,0.075024132,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
123.7217802,45.79202188,9487-12705,11.20568674,0.0402399,Er,0.581844575,,,,,0.17,0.83,2.716524043,-1.129,0.314,-3.583676364,0.056365354,-8.741618151,-4.314491123,2.083782037,2.354981574,,,,,,,,,,,0.224800529,0.624511687,0.02917824,0.015104867,,,,,0.746930769,1.630394549,0.114670976,0.112163673,3.832419429,3.184708619,0.034199884,0.020895142,1.938362464,1.814556925,0.031709716,0.066362566,0.176660466,-0.132107288,0.078327577,0.093220192,-0.369752291,-0.195022693,0.031316906,0.034357243,-0.293972589,-0.23819595,0.339111125,0.26655286,0.085086132,-0.36533179,0.223175228,0.200958846,-0.482064368,-0.477493917,0.267112376,0.218282887
115.0059601,32.19458563,8139-6101,10.51589052,0.027711,Sb?t,0.735959099,-0.383033773,0.184778878,-0.026482043,-0.094620543,0.14,0.86,3.57929089,,,-0.098769627,0.016482493,-1.236196284,0.115567561,2.515110631,0.820373772,0.452908725,-1.927374967,,-1.927374967,,0.030492991,0.49848381,,0.49848381,,1.637693486,9.640182403,0.121871511,0.165399736,,TRUE,,TRUE,2.841291045,3.032638139,0.067334536,0.014896777,3.249922062,2.942592989,0.013530281,0.00692905,1.791132081,1.551353454,0.066291294,0.100429817,0.091401682,-0.197909625,0.017982433,0.006399602,-0.023087128,-0.214409219,0.013833689,0.006558734,-0.207058119,-0.468182776,0.27100627,0.092282674,-0.389213857,-0.524382414,0.279998946,0.11185238,-0.984522248,-1.676603994,0.384336949,0.321416097
235.0182293,45.94848817,8488-12705,11.12583928,0.0365417,Ser(i),0.909793128,-1.630509817,-0.235827002,-0.274607135,-0.506593057,0.78,0.22,4.103728098,0.673,0.184,0.349675,0.016440121,1.943335554,1.350522943,0.314689792,0.934961909,1.915435542,-0.168134574,1.498472825,-0.129030361,,0.024143047,0.135100218,0.029083489,0.135100999,,6.210335506,9.514732415,0.243182555,0.208828787,,TRUE,,TRUE,4.437195454,3.843253765,0.017170216,0.026036689,3.686864737,3.303519004,0.017740926,0.014415947,1.674426067,1.544368008,0.071314973,0.090273642,0.009219071,-0.171656891,0.013115107,0.007385854,-0.26202044,-0.255352514,0.011709653,0.009698971,-0.288004988,-0.258821149,0.046510163,0.116793635,-0.719858616,-0.6217427,0.046987335,0.138482255,-1.864255678,-1.632318592,0.236774088,0.309529881
25.01917784,13.41704128,8095-12701,10.41355476,0.0446169,99,0.796449536,-1.893297802,-0.48301481,-0.574508241,-0.396473245,0.2,0.8,3.791716515,-0.136,0.06,-0.010147101,0.01893632,0.554001924,0.400857451,0.158222727,0.304492613,0.440912723,,,,,0.014485353,,,,,15.39217377,22.34536741,0.29970695,0.490084043,,,,TRUE,3.890959862,3.861410466,0.013463406,0.014516631,3.647125626,3.67340669,0.009371421,0.01155716,1.316435082,1.266928766,0.023123633,0.044726252,-0.332975074,-0.215702918,0.007638315,0.005782729,-0.364253682,-0.133520604,0.011302861,0.007593912,-0.539124425,-0.622837696,0.017208388,0.067111477,-0.608941566,-0.613209069,0.027711063,0.049914121,-1.966387378,-1.807435853,0.23778255,0.180350189
248.0684656,37.23388235,11940-6104,10.79712574,0.03126501,Sc?t,0.74547575,-2.045404893,-0.352253434,-0.197264859,-0.405245243,0.13,0.88,4.04841298,-0.177,0.143,0.002121693,0.020227899,1.35755325,0.470878848,0.351385761,0.936961674,0.982463856,,0.770484588,,,0.022710445,,0.043835673,,,9.486886198,9.646364563,0.294195423,0.190654317,,,,,4.20315515,3.326063774,0.023325011,0.021796429,3.666377657,3.090801705,0.014552638,0.010831122,1.640705702,1.620459281,0.064169998,0.16541779,-0.157804115,-0.236344617,0.00942864,0.007807773,-0.392649623,-0.430331607,0.013904173,0.007934317,-0.243825798,-0.256355636,0.077417101,0.08032024,-0.742530582,-0.681689603,0.085317,0.127775966,-2.19857218,-1.97555543,0.232156216,0.259748691
247.0898948,40.90679464,11941-6103,10.64975207,0.03369584,Sb?t(r),0.766262458,-1.632261935,-0.014871239,-0.120323934,-0.171742358,0.02,0.98,4.421377055,-0.169,0.138,0.855466245,0.027648371,1.054913731,0.890728544,0.554913502,0.759875331,0.805114136,0.815199768,0.68532739,0.874263065,,0.039329052,0.26307845,0.045926805,0.248311701,,4.226899802,5.645296127,0.147942958,0.160806731,,TRUE,,TRUE,3.998294389,3.364790224,0.036947327,0.015947242,3.571847379,2.987597303,0.025507567,0.010058398,1.609656634,1.48461844,0.033802229,0.082672366,-0.181538942,-0.318602909,0.01037367,0.007474104,-0.110184736,-0.289161099,0.01348867,0.010678809,-0.142401342,-0.264712219,0.083732552,0.138629539,-0.486713762,-0.594834106,0.099814404,0.112708227,-1.529063742,-1.610825946,0.227416808,0.239078159
174.5881236,47.43736491,10507-6101,11.05199745,0.0334189,Er(m),0.667322363,-0.963857597,0.094151833,0.189530945,0.02627084,0.21,0.79,3.518252212,-1.093,0.434,-1.550744394,0.059726396,0.378726634,-1.943384564,1.505892771,2.45784986,,-0.72869472,,-0.411633622,,,0.246216388,,0.231599227,,0.621899349,0.49860058,0.014778939,0.01191304,,TRUE,,TRUE,3.934733304,2.634994414,0.055320678,0.068009591,3.723124646,3.15922842,0.020229373,0.010521922,1.769509174,1.690481188,0.036143846,0.034118809,0.096981401,-0.006011787,0.01509492,0.010944817,0.358145304,0.233364876,0.020377831,0.017424271,0.180973603,0.102096679,0.083919239,0.200642171,-0.239084459,0.045069424,0.141710794,0.248495266,-0.77570451,-0.304244148,0.455871152,0.402212673
