_RAJ2000_1,_DEJ2000_1,Source,RAJ2000_1,DEJ2000_1,Link,Speak,e_Speak,SpeakTot,e_SpeakTot,Maj,Min,e_Min,DCMaj,DCMin,PA,e_PA,DCPA,Islrms,SCode,Mosaic,Npoint,MaskFract,_RAJ2000_2,_DEJ2000_2,ID,RAJ2000_2,DEJ2000_2,z,IR,WISE,logLIR,e_logLIR,Xray,BAT,logLX,Rad,NVSS,FIRST,Class,logLRad,e_logLRad,Broad,logLBr,e_logLBr,DR15,Sloan,Simbad,NED,recno,Separation
186.90845,40.16083,ILTJ122738.03+400938.9,186.90845,40.16083,https://vo.astron.nl/getproduct/LoTSS-DR2/P187+40    ,22.417,0.069,74.005,1.007,15.18,13.62,0.04,13.94,12.23,52.95,1.22,52.95,0.069,M,P187+40    ,3,1,186.90855,40.16049,8988-6104  ,186.90855,40.16049,0.037287,0,1,0,0,0,0,0,1,1,1,,44.47419,45.614296,0,0,0,0,Sloan,Simbad,NED,250,1.270416967
135.79611,54.06454,ILTJ090311.07+540352.3,135.79611,54.06454,https://vo.astron.nl/getproduct/LoTSS-DR2/P137+55    ,73.471,0.095,280.245,1.129,15.71,8.99,0.01,14.52,6.69,70.61,0.15,70.61,0.095,M,P137+55    ,4,1,135.79643,54.064327,8721-9102  ,135.79643,54.064327,0.083504,0,1,0,0,0,0,0,1,1,0,LERG,45.692715,46.84491,0,0,0,1,Sloan,Simbad,NED,215,1.024574877
183.99759,35.71735,ILTJ121559.42+354302.4,183.99759,35.71735,https://vo.astron.nl/getproduct/LoTSS-DR2/P184+37    ,45.432,0.178,226.053,1.423,17.56,9.72,0.04,16.51,7.64,117.32,0.42,117.32,0.178,M,P184+37    ,4,1,183.99738,35.717373,8554-6103  ,183.99738,35.717373,0.133659,0,1,0,0,0,0,0,1,1,1,LERG,45.967003,47.121872,0,0,0,1,Sloan,Simbad,NED,160,0.629804418
182.66531,36.614,ILTJ121039.68+363650.4,182.66531,36.614,https://vo.astron.nl/getproduct/LoTSS-DR2/P184+37    ,1.524,0.07,101.563,1.903,77.22,31.73,0.59,76.98,31.16,55.92,1.83,55.92,0.07,M,P184+37    ,3,1,182.66438,36.614506,8554-3702  ,182.66438,36.614506,0.083097,0,1,0,0,0,0,0,1,1,0,LERG,45.216724,46.36424,0,0,0,1,Sloan,Simbad,NED,158,3.251155039
118.85589,39.18618,ILTJ075525.41+391110.2,118.85589,39.18618,https://vo.astron.nl/getproduct/LoTSS-DR2/P117+39    ,2.063,0.082,12.851,0.908,14.47,9.44,0.32,13.17,7.29,13.53,4.83,13.53,0.082,M,P117+39    ,3,1,118.85539,39.186096,8713-9102  ,118.85539,39.186096,0.033038,1,1,44.22726,43.28314,1,0,44.327885,0,0,0,,0,0,1,45.148296,5.7726436,1,Sloan,Simbad,NED,206,1.416362677
118.65501,39.17984,ILTJ075437.20+391047.4,118.65501,39.17984,https://vo.astron.nl/getproduct/LoTSS-DR2/P117+39    ,56.344,0.155,106.485,1.511,10.47,9.14,0.03,8.59,6.9,80.69,1.03,80.69,0.155,M,P117+39    ,3,1,118.654434,39.179928,9181-12703 ,118.654434,39.179928,0.096444,0,1,0,0,0,0,0,1,1,1,LERG,45.711246,46.863625,0,0,0,1,Sloan,Simbad,NED,336,1.62773307
118.57096,38.22088,ILTJ075417.03+381315.1,118.57096,38.22088,https://vo.astron.nl/getproduct/LoTSS-DR2/P117+39    ,5.151,0.076,6.776,0.158,7.12,6.66,0.1,3.83,2.88,87.11,9.91,87.11,0.072,S,P117+39    ,4,1,118.570946,38.220894,9181-12701 ,118.570946,38.220894,0.118118,0,1,0,0,0,0,0,1,1,1,LERG,44.953148,46.09805,0,0,0,1,Sloan,Simbad,NED,334,0.069856477
118.38202,38.73324,ILTJ075331.68+384359.6,118.38202,38.73324,https://vo.astron.nl/getproduct/LoTSS-DR2/P117+39    ,12.479,0.077,23.65,0.401,8.84,7.56,0.05,6.5,4.61,58.57,1.99,58.57,0.077,M,P117+39    ,4,1,118.38202,38.733295,9181-12704 ,118.38202,38.733295,0.04108,0,1,0,0,0,0,0,1,1,1,,44.05663,45.192516,0,0,0,1,Sloan,Simbad,NED,337,0.205993652
118.3175,39.0503,ILTJ075316.20+390301.0,118.3175,39.0503,https://vo.astron.nl/getproduct/LoTSS-DR2/P117+39    ,2.006,0.066,21.483,0.775,20.83,18.51,0.61,19.95,17.51,163.33,13.14,163.33,0.088,S,P117+39    ,4,1,118.31732,39.05012,8713-6104  ,118.31732,39.05012,0.041138,0,1,0,0,0,0,0,1,1,0,,44.07221,45.208256,0,0,0,1,Sloan,Simbad,NED,205,0.81072528
241.51506,30.65018,ILTJ160603.61+303900.6,241.51506,30.65018,https://vo.astron.nl/getproduct/LoTSS-DR2/P240+30    ,13.967,0.087,18.185,0.325,6.93,6.34,0.04,3.47,2.05,71.14,3.21,71.14,0.087,M,P240+30    ,3,1,241.51508,30.650236,9032-6102  ,241.51508,30.650236,0.059626,0,1,0,0,0,0,0,1,1,1,LERG,44.482292,45.622482,0,0,0,0,Sloan,Simbad,NED,286,0.204658025
